DistrictName,DistrictCode,KinderTotal2018,
Abby Kelley Foster Charter Public (District),04450000,117,
Abington,00010000,137,
Acton-Boxborough,06000000,352,
Acushnet,00030000,108,
Adams-Cheshire,06030000,85,
Agawam,00050000,233,
Alma del Mar Charter School (District),04090000,50,
Amesbury,00070000,145,
Amherst,00080000,121,
Andover,00090000,363,
Arlington,00100000,522,
Ashburnham-Westminster,06100000,151,
Ashland,00140000,202,
Athol-Royalston,06150000,124,
Atlantis Charter (District),04910000,107,
Attleboro,00160000,425,
Auburn,00170000,167,
Avon,00180000,48,
Ayer Shirley School District,06160000,142,
Barnstable,00200000,314,
Barnstable Community Horace Mann Charter Public (District),04270000,85,
Bedford,00230000,197,
Belchertown,00240000,158,
Bellingham,00250000,156,
Belmont,00260000,320,
Benjamin Banneker Charter Public (District),04200000,49,
Benjamin Franklin Classical Charter Public (District),04470000,50,
Bentley Academy Charter School (District),35110000,59,
Berkley,00270000,77,
Berkshire Hills,06180000,84,
Berlin,00280000,27,
Beverly,00300000,364,
Billerica,00310000,353,
Blackstone-Millville,06220000,129,
Boston,00350000,4001,
Boston Renaissance Charter Public (District),04810000,131,
Bourne,00360000,119,
Boxford,00380000,80,
Boylston,00390000,39,
Braintree,00400000,356,
Brewster,00410000,54,
Bridge Boston Charter School (District),04170000,39,
Bridgewater-Raynham,06250000,384,
Brimfield,00430000,32,
Brockton,00440000,1261,
Brooke Charter School (District),04280000,178,
Brookfield,00450000,40,
Brookline,00460000,609,
Burlington,00480000,299,
Cambridge,00490000,646,
Canton,00500000,221,
Carlisle,00510000,63,
Carver,00520000,119,
Central Berkshire,06350000,100,
Chelmsford,00560000,368,
Chelsea,00570000,513,
Chesterfield-Goshen,06320000,19,
Chicopee,00610000,552,
Clarksburg,00630000,31,
Clinton,00640000,146,
Codman Academy Charter Public (District),04380000,19,
Cohasset,00650000,95,
Collegiate Charter School of Lowell (District),35030000,99,
Community Day Charter Public School - Gateway (District),04260000,40,
Community Day Charter Public School - Prospect (District),04400000,46,
Community Day Charter Public School - R. Kingman Webster (District),04310000,42,
Concord,00670000,220,
Conservatory Lab Charter (District),04390000,49,
Conway,00680000,13,
Danvers,00710000,258,
Dartmouth,00720000,252,
Dedham,00730000,173,
Deerfield,00740000,51,
Dennis-Yarmouth,06450000,207,
Dighton-Rehoboth,06500000,193,
Douglas,00770000,79,
Dover,00780000,61,
Dracut,00790000,313,
Dudley Street Neighborhood Charter School (District),04070000,38,
Dudley-Charlton Reg,06580000,267,
Duxbury,00820000,173,
East Bridgewater,00830000,160,
East Longmeadow,00870000,187,
Eastham,00850000,24,
Easthampton,00860000,111,
Easton,00880000,243,
Edgartown,00890000,38,
Erving,00910000,11,
Everett,00930000,492,
Fairhaven,00940000,130,
Fall River,00950000,873,
Falmouth,00960000,247,
Farmington River Reg,06620000,16,
Fitchburg,00970000,418,
Florida,00980000,4,
Foxborough,00990000,173,
Foxborough Regional Charter (District),04460000,130,
Framingham,01000000,720,
