DistrictName,DistrictCode,KinderTotal2020
Abby Kelley Foster Charter Public (District),04450000,114
Abington,00010000,169
Acton-Boxborough,06000000,306
Acushnet,00030000,89
Agawam,00050000,263
Alma del Mar Charter School (District),04090000,103
Amesbury,00070000,134
Amherst,00080000,128
Andover,00090000,340
Arlington,00100000,524
Ashburnham-Westminster,06100000,156
Ashland,00140000,188
Athol-Royalston,06150000,124
Atlantis Charter (District),04910000,110
Attleboro,00160000,433
Auburn,00170000,184
Avon,00180000,48
Ayer Shirley School District,06160000,150
Barnstable,00200000,343
Bedford,00230000,183
Belchertown,00240000,146
Bellingham,00250000,140
Belmont,00260000,349
Benjamin Banneker Charter Public (District),04200000,46
Benjamin Franklin Classical Charter Public (District),04470000,92
Bentley Academy Charter School (District),35110000,52
Berkley,00270000,96
Berkshire Hills,06180000,72
Berlin-Boylston,06200000,82
Beverly,00300000,398
Billerica,00310000,373
Blackstone-Millville,06220000,111
Boston,00350000,3675
Boston Renaissance Charter Public (District),04810000,136
Bourne,00360000,132
Boxford,00380000,109
Braintree,00400000,384
Brewster,00410000,62
Bridge Boston Charter School (District),04170000,36
Bridgewater-Raynham,06250000,419
Brimfield,00430000,44
Brockton,00440000,1053
Brooke Charter School (District),04280000,186
Brookfield,00450000,44
Brookline,00460000,600
Burlington,00480000,265
Cambridge,00490000,630
Canton,00500000,250
Carlisle,00510000,52
Carver,00520000,127
Central Berkshire,06350000,115
Chelmsford,00560000,365
Chelsea,00570000,495
Chesterfield-Goshen,06320000,21
Chicopee,00610000,473
Clarksburg,00630000,15
Clinton,00640000,138
Codman Academy Charter Public (District),04380000,22
Cohasset,00650000,103
Collegiate Charter School of Lowell (District),35030000,78
Community Day Charter Public School - Gateway (District),04260000,40
Community Day Charter Public School - Prospect (District),04400000,25
Community Day Charter Public School - R. Kingman Webster (District),04310000,41
Concord,00670000,207
Conservatory Lab Charter (District),04390000,49
Conway,00680000,14
Danvers,00710000,258
Dartmouth,00720000,270
Dedham,00730000,229
Deerfield,00740000,50
Dennis-Yarmouth,06450000,228
Dighton-Rehoboth,06500000,192
Douglas,00770000,98
Dover,00780000,78
Dracut,00790000,305
Dudley Street Neighborhood Charter School (District),04070000,41
Dudley-Charlton Reg,06580000,246
Duxbury,00820000,182
East Bridgewater,00830000,149
East Longmeadow,00870000,181
Eastham,00850000,32
Easthampton,00860000,120
Easton,00880000,224
Edgartown,00890000,45
Erving,00910000,18
Everett,00930000,508
Fairhaven,00940000,116
Fall River,00950000,854
Falmouth,00960000,226
Farmington River Reg,06620000,13
Fitchburg,00970000,419
Florida,00980000,7
Foxborough,00990000,184
Foxborough Regional Charter (District),04460000,145
Framingham,01000000,696
Franklin,01010000,285
Freetown-Lakeville,06650000,219
Gardner,01030000,176
Gateway,06720000,49
Georgetown,01050000,105
Gill-Montague,06740000,71
Gloucester,01070000,226
Grafton,01100000,237
Granby,01110000,57
Greenfield,01140000,161
Greenfield Commonwealth Virtual District,39010000,15
Groton-Dunstable,06730000,150
Hadley,01170000,29
Halifax,01180000,64
Hamilton-Wenham,06750000,145
Hampden-Wilbraham,06800000,195
Hancock,01210000,11
Hanover,01220000,198
Harvard,01250000,58
Hatfield,01270000,28
Haverhill,01280000,581
Hawlemont,06850000,16
Hill View Montessori Charter Public (District),04550000,36
Hilltown Cooperative Charter Public (District),04500000,20
Hingham,01310000,304
Holbrook,01330000,106
Holland,01350000,18
Holliston,01360000,194
Holyoke,01370000,419
Holyoke Community Charter (District),04530000,81
Hoosac Valley Regional,06030000,88
Hopedale,01380000,66
Hopkinton,01390000,268
Hudson,01410000,196
Hull,01420000,52
Ipswich,01440000,105
KIPP Academy Boston Charter School (District),04630000,62
KIPP Academy Lynn Charter (District),04290000,125
Kingston,01450000,154
Lawrence,01490000,908
Lawrence Family Development Charter (District),04540000,81
Lee,01500000,53
Leicester,01510000,97
Lenox,01520000,44
Leominster,01530000,420
Leverett,01540000,15
Lexington,01550000,382
Lincoln,01570000,109
Littleton,01580000,116
Longmeadow,01590000,177
Lowell,01600000,1098
Lowell Community Charter Public (District),04560000,100
Ludlow,01610000,161
Lunenburg,01620000,121
Lynn,01630000,1083
Lynnfield,01640000,170
MATCH Charter Public School (District),04690000,92
Malden,01650000,474
Manchester Essex Regional,06980000,83
Mansfield,01670000,205
Marblehead,01680000,164
Marion,01690000,55
Marlborough,01700000,417
Marshfield,01710000,269
Martha's Vineyard Charter (District),04660000,14
Martin Luther King Jr. Charter School of Excellence (District),04920000,62
Mashpee,01720000,96
Mattapoisett,01730000,52
