week,covid19,vacation,potato_chip,tater_tots,donald_trump
12/31/23,100,30,87,11,7
1/7/24,81,30,81,11,7
1/14/24,62,29,84,13,9
1/21/24,54,29,83,10,12
1/28/24,52,28,86,10,7
2/4/24,42,29,97,13,7
2/11/24,40,31,84,11,9
2/18/24,41,37,87,10,10
2/25/24,37,30,95,7,8
3/3/24,36,27,86,10,11
3/10/24,29,24,83,7,8
3/17/24,27,26,89,10,8
3/24/24,28,25,86,9,10
3/31/24,25,27,79,7,8
4/7/24,23,29,88,8,7
4/14/24,21,27,86,11,10
4/21/24,22,22,89,11,9
4/28/24,21,19,92,6,7
5/5/24,22,19,85,7,7
5/12/24,24,19,81,8,7
5/19/24,25,22,92,6,8
5/26/24,25,20,88,6,32
6/2/24,26,20,79,7,9
6/9/24,28,20,90,9,8
6/16/24,30,21,95,9,7
6/23/24,37,22,90,7,16
6/30/24,40,23,89,7,10
7/7/24,48,24,86,9,35
7/14/24,64,24,90,8,89
7/21/24,59,24,87,7,27
7/28/24,57,23,87,7,22
8/4/24,58,24,93,9,17
8/11/24,58,24,83,9,17
8/18/24,59,21,91,9,20
8/25/24,54,22,92,13,16
9/1/24,58,20,87,8,13
9/8/24,55,18,88,6,28
9/15/24,56,18,85,9,27
9/22/24,56,18,80,8,12
9/29/24,52,18,93,5,13
10/6/24,47,18,81,10,14
10/13/24,38,19,93,12,20
10/20/24,36,19,83,11,23
10/27/24,31,19,87,9,30
11/3/24,27,16,77,8,100
11/10/24,28,20,86,6,33
11/17/24,27,20,92,7,18
11/24/24,26,22,89,9,12
12/1/24,30,21,75,6,9
12/8/24,29,20,78,9,9
12/15/24,34,23,89,10,9
12/22/24,37,27,90,14,9
12/29/24,40,32,100,7,9
