"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRECIPITATION","SNOWFALL","MAXTEMP","MINTEMP"
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-01,0,0,35,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-02,0,0,33,16
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-03,0,0,35,16
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-04,0,0,35,24
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-05,0,0,38,9
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-06,0,0,27,9
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-07,0.32,6,30,20
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-08,0.46,4,23,17
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-09,0,0,29,8
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-10,1.81,0,49,11
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-11,0.05,0,49,32
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-12,0,0,37,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-13,0.78,0,44,27
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-14,0.15,0,51,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-15,0.04,1,33,8
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-16,0.03,1,24,8
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-17,0.28,4,22,8
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-18,0,0,18,6
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-19,0,0,23,5
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-20,0,0,23,3
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-21,0.02,0.5,12,4
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-22,0,0,19,4
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-23,0,0,33,8
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-24,0.17,1.5,34,27
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-25,0.45,0,43,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-26,0.48,0,47,32
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-27,0.17,0,33,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-28,0.01,0,36,32
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-29,0.68,8,32,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-30,0.02,0,30,24
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-01-31,0.02,0,25,18
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-01,0,0,29,21
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-02,0,0,33,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-03,0,0,37,20
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-04,0,0,33,10
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-05,0,0,36,13
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-06,0,0,35,15
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-07,0,0,36,13
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-08,0,0,43,13
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-09,0,0,45,19
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-10,0,0,49,27
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-11,0.2,0,54,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-12,0,0,43,21
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-13,0.01,0,41,21
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-14,0.02,0.5,30,22
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-15,0,0,26,17
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-16,0.08,2,34,16
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-17,0.02,0,31,18
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-18,0.01,0.5,28,5
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-19,0,0,29,10
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-20,0,0,31,1
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-21,0,0,34,6
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-22,0,0,38,13
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-23,0.13,0.5,38,20
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-24,0.09,0,45,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-25,0,0,31,5
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-26,0,0,35,8
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-27,0,0,50,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-28,0.24,0,57,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-02-29,0.38,0,53,18
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-01,0,0,26,13
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-02,0,0,38,15
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-03,0.93,0,43,34
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-04,0,0,58,36
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-05,0.02,0,50,34
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-06,0.3,0,38,34
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-07,1.58,0,54,37
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-08,0.14,0,45,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-09,0,0,50,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-10,1.12,0,38,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-11,0.01,0,43,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-12,0,0,38,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-13,0,0,50,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-14,0,0,61,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-15,0.09,0,63,30
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-16,0.04,0,40,29
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-17,0.06,0,53,31
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-18,0.01,0,52,28
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-19,0,0,43,26
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-20,0,0,39,27
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-21,0,0,49,19
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-22,0,0,32,17
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-23,0.42,1,35,17
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-24,2,1,33,16
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-25,0,0,34,16
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-26,0,0,38,23
"USC00190192","ASHBURNHAM NORTH, MA US",42.6617,-71.9359,349.3,2024-03-27,0.01,0,35,28
