household_id,state,husband_age,husband_health_insurance,husband_total_income,wife_age,wife_health_insurance,wife_total_income
155700,Oregon,66,with,56600,62,with,38700
1281432,Oregon,88,with,37000,84,with,17100
1431167,Oregon,38,with,20000,38,with,3400
685872,Oregon,56,with,17400,49,without,12000
311692,Oregon,42,with,115000,42,with,0
855397,Oregon,78,with,21000,78,with,6000
1407179,Oregon,42,with,110000,43,with,62000
974962,Oregon,33,with,63000,28,with,0
986499,Oregon,62,with,38000,62,with,19000
1357404,Oregon,55,with,12000,53,with,10000
912762,Oregon,47,with,200000,41,with,0
355994,Oregon,68,with,90200,68,with,15000
1266397,Oregon,82,with,46550,77,with,45900
1278782,Oregon,54,with,66000,51,with,64300
296098,Oregon,63,with,56200,57,with,41000
1080155,Oregon,57,with,36000,54,with,8500
1409235,Oregon,62,with,23200,63,with,138000
366632,Oregon,36,with,49000,27,with,0
772154,Oregon,68,with,85000,69,with,130000
120070,Oregon,57,with,75000,54,with,14000
432412,Oregon,49,with,60000,47,without,17000
1241380,Oregon,23,with,22000,24,with,0
1446412,Oregon,87,with,38170,89,with,9200
1204026,Oregon,56,with,38900,54,with,0
1322643,Oregon,47,with,104000,44,with,117000
1330809,Oregon,63,with,2800,47,with,200000
877559,Oregon,46,with,1500,48,with,2000
111601,Oregon,61,with,406000,59,with,10000
131308,Oregon,48,with,6000,57,with,104400
988899,Oregon,73,with,152000,71,with,62000
1327213,Oregon,53,with,3100,47,with,23800
1213627,Oregon,54,with,64000,53,with,39500
1192759,Oregon,75,with,33900,72,with,9100
1434032,Oregon,62,with,44100,63,with,19800
39420,Oregon,34,with,44000,35,with,71000
118265,Oregon,63,with,19500,60,with,20000
1023042,Oregon,34,with,85000,32,with,14400
118519,Oregon,59,with,119000,69,with,7100
1520620,Oregon,37,without,30000,30,without,0
520809,Oregon,58,with,12000,47,with,14000
103693,Oregon,32,with,17000,38,with,0
786850,Oregon,59,with,118000,57,with,28000
879422,Oregon,42,with,170000,43,with,1300
887343,Oregon,59,with,30000,59,with,30000
1437481,Oregon,70,with,30870,66,with,81200
967310,Oregon,41,with,150000,37,with,59000
1064632,Oregon,36,with,35000,29,with,40000
1457003,Oregon,52,with,153000,51,with,90400
112665,Oregon,76,with,23100,77,with,0
91507,Oregon,44,with,4000,42,with,410000
1185205,Oregon,45,with,85000,44,with,22000
618338,Oregon,71,with,87000,66,with,14000
581096,Oregon,68,with,98000,65,with,89200
321705,Oregon,72,with,60100,68,with,9100
721951,Oregon,52,with,88000,50,with,0
1328361,Oregon,52,without,47500,47,without,2000
575724,Oregon,27,with,130000,25,with,0
854915,Oregon,47,with,68000,53,with,120000
608353,Oregon,76,with,51400,73,with,13400
12602,Oregon,52,with,38000,47,with,12000
1055395,Oregon,58,with,62000,57,with,49100
41501,Oregon,76,with,25300,69,with,69100
321349,Oregon,88,with,99800,80,with,14200
927357,Oregon,67,with,42100,67,with,30000
572893,Oregon,71,with,32400,68,with,12000
968534,Oregon,30,with,44000,32,with,21000
953663,Oregon,63,with,255000,65,with,1000
475271,Oregon,75,with,87000,76,with,0
720954,Oregon,53,with,80000,51,with,20000
1132289,Oregon,42,with,67200,35,with,0
445330,Oregon,82,with,46800,81,with,9500
401413,Oregon,45,with,48400,39,with,24000
1491211,Oregon,56,with,38000,60,with,37000
306352,Oregon,71,with,19000,62,with,28000
375354,Oregon,66,with,48730,54,with,36800
1493741,Oregon,50,with,69000,54,with,27700
1094174,Oregon,52,with,32000,46,with,26000
688609,Oregon,60,with,60000,53,with,171000
1153284,Oregon,65,with,12200,65,with,10800
1470642,Oregon,44,with,59000,42,with,80000
