state,age,sex,total_income,health_insurance,transport
Oregon,62,female,23000,with,"Car, truck, or van"
Washington,56,male,68000,with,"Car, truck, or van"
Washington,64,female,59000,with,"Car, truck, or van"
Oregon,45,female,10000,without,NA
Oregon,33,female,2000,with,NA
Oregon,55,male,50000,with,"Car, truck, or van"
Oregon,31,female,30000,with,NA
Oregon,40,male,90500,with,Bicycle
Oregon,71,male,4300,with,NA
Washington,28,male,152300,with,Bus or trolley bus
Oregon,46,male,17000,without,Worked at home
Oregon,51,female,7200,with,"Car, truck, or van"
Washington,58,male,0,with,NA
Oregon,74,male,53000,with,NA
Washington,64,male,12000,with,NA
Oregon,46,male,239500,with,"Car, truck, or van"
Washington,49,female,100000,with,"Car, truck, or van"
Oregon,74,female,17900,with,NA
Washington,54,male,2000,with,"Car, truck, or van"
Washington,58,male,33000,with,"Car, truck, or van"
Oregon,40,female,250,with,NA
Washington,76,female,48000,with,NA
Oregon,43,male,86010,with,Walked
Washington,84,male,69000,with,NA
Oregon,47,male,14000,with,NA
Washington,35,female,31500,with,"Car, truck, or van"
Washington,44,female,19000,without,"Car, truck, or van"
Oregon,48,female,34200,with,Other
Washington,62,male,50,with,NA
Washington,38,male,60000,with,"Car, truck, or van"
Washington,31,female,40000,with,"Car, truck, or van"
Washington,94,male,36600,with,NA
Oregon,81,female,50800,with,NA
Oregon,71,female,58500,with,NA
Oregon,80,female,21700,with,NA
Oregon,72,female,25500,with,NA
Washington,66,male,36800,with,NA
Oregon,31,female,0,with,NA
Oregon,67,male,48600,with,NA
Washington,57,male,76600,with,"Car, truck, or van"
Oregon,59,female,5800,without,NA
Washington,82,male,17900,with,NA
Washington,57,female,72000,with,"Car, truck, or van"
Washington,62,male,25000,without,NA
Washington,60,female,4700,with,NA
Washington,24,female,16000,with,"Car, truck, or van"
Washington,56,male,72000,with,"Car, truck, or van"
Oregon,52,male,163004,with,"Car, truck, or van"
Washington,28,female,21000,with,"Car, truck, or van"
Washington,70,male,115270,with,"Car, truck, or van"
Washington,40,female,4500,with,"Car, truck, or van"
Washington,47,female,50700,with,NA
Washington,55,male,46800,with,NA
Washington,69,male,48000,with,NA
Oregon,52,female,18000,with,"Car, truck, or van"
Washington,82,male,162600,with,NA
Washington,78,female,28500,with,NA
Oregon,61,male,113700,with,"Car, truck, or van"
Washington,72,female,19200,with,NA
Oregon,64,male,20100,with,NA
Washington,83,female,25500,with,NA
Washington,56,female,46700,with,"Car, truck, or van"
Washington,36,female,60000,with,"Car, truck, or van"
Oregon,29,male,95000,with,Worked at home
Washington,56,female,68000,with,"Car, truck, or van"
Oregon,53,male,39000,with,"Car, truck, or van"
Washington,36,male,140000,with,"Car, truck, or van"
Washington,46,male,20000,with,"Car, truck, or van"
Washington,86,male,29100,with,NA
Washington,59,male,119000,with,"Car, truck, or van"
Washington,70,male,235500,with,NA
Washington,57,female,48000,with,"Car, truck, or van"
Washington,28,male,20100,without,"Car, truck, or van"
Oregon,85,male,11200,with,NA
Oregon,40,female,25600,with,NA
Washington,66,female,11300,with,NA
Oregon,79,female,25500,with,NA
Washington,39,male,16200,without,Walked
Washington,30,male,32000,with,"Car, truck, or van"
Oregon,42,male,50000,with,"Car, truck, or van"
Washington,43,female,25000,with,NA
Washington,33,female,60000,without,"Car, truck, or van"
Washington,48,female,130100,with,Worked at home
Washington,63,female,28604,with,"Car, truck, or van"
Washington,64,male,70000,with,Worked at home
Washington,41,female,60000,with,"Car, truck, or van"
Washington,74,male,31200,with,NA
Washington,28,female,45000,with,"Car, truck, or van"
Washington,53,female,1200,with,NA
Oregon,76,female,37600,with,NA
Washington,73,female,49400,with,NA
Washington,39,female,0,with,NA
Oregon,70,female,25900,with,NA
Washington,60,female,28000,with,Walked
Oregon,72,female,6000,with,NA
Washington,24,male,35000,without,"Car, truck, or van"
Oregon,64,female,25950,with,NA
Washington,52,male,120300,with,"Car, truck, or van"
Oregon,60,male,85100,with,"Car, truck, or van"
Washington,64,female,48300,with,NA
Oregon,72,male,87500,with,NA
Washington,34,male,110020,with,Worked at home
Oregon,66,female,14300,with,NA
Washington,55,male,48000,with,NA
Oregon,28,female,35000,with,"Car, truck, or van"
Washington,52,female,42100,with,"Car, truck, or van"
Washington,64,female,10900,with,NA
Oregon,49,female,40500,with,"Car, truck, or van"
Washington,64,female,22000,without,NA
Washington,42,male,181500,with,"Car, truck, or van"
Washington,68,female,8300,with,NA
Washington,28,male,63000,with,"Car, truck, or van"
Washington,51,female,32200,with,"Car, truck, or van"
Washington,27,female,0,with,NA
Oregon,79,male,33400,with,NA
Washington,55,male,41000,with,"Car, truck, or van"
Washington,28,female,38000,with,Bus or trolley bus
Washington,66,female,4700,with,NA
Washington,64,male,15000,with,NA
Washington,50,female,270000,with,"Car, truck, or van"
Washington,74,female,7100,with,NA
Washington,54,female,116500,with,"Car, truck, or van"
Washington,54,female,0,with,NA
Washington,67,male,14000,with,NA
Oregon,57,male,79000,with,"Car, truck, or van"
Washington,57,male,25520,with,"Car, truck, or van"
Washington,48,female,42000,with,"Car, truck, or van"
Oregon,66,female,58400,with,NA
Oregon,40,male,105000,with,"Car, truck, or van"
Oregon,58,male,20000,with,"Car, truck, or van"
Washington,29,female,33000,with,"Car, truck, or van"
Washington,74,male,30100,with,NA
Washington,60,male,18000,with,"Car, truck, or van"
Washington,27,male,60000,with,Walked
Oregon,39,male,76700,with,"Car, truck, or van"
Oregon,62,male,19800,with,"Car, truck, or van"
Washington,27,female,0,with,NA
Washington,28,male,40000,with,"Car, truck, or van"
Oregon,31,male,110000,with,Bus or trolley bus
Washington,62,female,42400,without,NA
Oregon,68,female,69800,with,NA
Washington,44,male,497000,with,"Car, truck, or van"
Washington,32,male,26500,without,"Car, truck, or van"
Washington,49,male,65000,with,"Car, truck, or van"
Washington,57,female,41000,with,"Car, truck, or van"
Washington,34,female,7670,with,Worked at home
Oregon,32,female,125500,with,"Car, truck, or van"
Washington,71,female,12080,with,NA
Washington,72,female,24700,with,NA
Washington,63,male,63000,with,NA
Washington,75,male,27300,with,NA
Washington,80,female,56000,with,NA
Washington,48,male,45000,with,Bicycle
Washington,76,male,28600,with,NA
Oregon,65,male,13000,with,NA
Washington,33,female,30000,with,"Car, truck, or van"
Oregon,79,male,35000,with,NA
Oregon,30,female,42000,with,Bus or trolley bus
Oregon,67,male,60400,with,"Car, truck, or van"
Oregon,65,female,14900,with,NA
Washington,50,male,100000,with,"Car, truck, or van"
Washington,62,female,15901,with,NA
Oregon,61,female,7700,with,NA
Oregon,55,male,21000,without,Worked at home
Washington,35,male,50000,with,"Car, truck, or van"
Washington,65,male,65000,with,"Car, truck, or van"
Oregon,67,male,10800,with,NA
Oregon,30,female,36400,with,Bicycle
Oregon,39,male,23000,with,Bus or trolley bus
Washington,44,male,28300,with,NA
Washington,35,female,15000,without,"Car, truck, or van"
Oregon,51,female,0,with,NA
Washington,47,male,57000,with,NA
Oregon,66,female,13200,with,NA
Oregon,63,female,1800,with,NA
Washington,41,female,47000,with,"Car, truck, or van"
Oregon,59,female,14900,with,NA
Oregon,47,female,50000,with,Bicycle
Oregon,79,male,4600,with,NA
Oregon,79,male,45850,with,NA
Oregon,33,male,85000,with,"Car, truck, or van"
Oregon,35,male,110300,with,"Car, truck, or van"
Washington,61,male,15000,with,NA
Washington,28,female,21000,with,"Car, truck, or van"
Oregon,32,female,83000,without,"Car, truck, or van"
Washington,83,male,18300,with,NA
Oregon,43,female,48000,with,"Car, truck, or van"
Oregon,64,male,21200,with,NA
