"date","units","daily_aqi_value","state","county"
"1/3/11","ug/m3 LC",19,"North Carolina","Durham"
"1/6/11","ug/m3 LC",34,"North Carolina","Durham"
"1/9/11","ug/m3 LC",18,"North Carolina","Durham"
"1/10/11","ug/m3 LC",20,"North Carolina","Durham"
"1/18/11","ug/m3 LC",31,"North Carolina","Durham"
"1/21/11","ug/m3 LC",16,"North Carolina","Durham"
"1/24/11","ug/m3 LC",37,"North Carolina","Durham"
"1/27/11","ug/m3 LC",32,"North Carolina","Durham"
"1/30/11","ug/m3 LC",41,"North Carolina","Durham"
"2/2/11","ug/m3 LC",18,"North Carolina","Durham"
"2/5/11","ug/m3 LC",17,"North Carolina","Durham"
"2/8/11","ug/m3 LC",16,"North Carolina","Durham"
"2/11/11","ug/m3 LC",37,"North Carolina","Durham"
"2/14/11","ug/m3 LC",19,"North Carolina","Durham"
"2/17/11","ug/m3 LC",54,"North Carolina","Durham"
"2/20/11","ug/m3 LC",17,"North Carolina","Durham"
"2/23/11","ug/m3 LC",24,"North Carolina","Durham"
"2/26/11","ug/m3 LC",25,"North Carolina","Durham"
"3/1/11","ug/m3 LC",12,"North Carolina","Durham"
"3/4/11","ug/m3 LC",29,"North Carolina","Durham"
"3/7/11","ug/m3 LC",15,"North Carolina","Durham"
"3/10/11","ug/m3 LC",9,"North Carolina","Durham"
"3/13/11","ug/m3 LC",34,"North Carolina","Durham"
"3/16/11","ug/m3 LC",20,"North Carolina","Durham"
"3/19/11","ug/m3 LC",27,"North Carolina","Durham"
"3/22/11","ug/m3 LC",45,"North Carolina","Durham"
"3/25/11","ug/m3 LC",30,"North Carolina","Durham"
"3/28/11","ug/m3 LC",34,"North Carolina","Durham"
"3/31/11","ug/m3 LC",16,"North Carolina","Durham"
"4/3/11","ug/m3 LC",20,"North Carolina","Durham"
"4/6/11","ug/m3 LC",18,"North Carolina","Durham"
"4/9/11","ug/m3 LC",30,"North Carolina","Durham"
"4/12/11","ug/m3 LC",23,"North Carolina","Durham"
"4/16/11","ug/m3 LC",21,"North Carolina","Durham"
"4/18/11","ug/m3 LC",28,"North Carolina","Durham"
"4/21/11","ug/m3 LC",28,"North Carolina","Durham"
"4/24/11","ug/m3 LC",36,"North Carolina","Durham"
"4/27/11","ug/m3 LC",18,"North Carolina","Durham"
"4/30/11","ug/m3 LC",20,"North Carolina","Durham"
"5/3/11","ug/m3 LC",28,"North Carolina","Durham"
"5/6/11","ug/m3 LC",30,"North Carolina","Durham"
"5/9/11","ug/m3 LC",29,"North Carolina","Durham"
"5/11/11","ug/m3 LC",57,"North Carolina","Durham"
"5/12/11","ug/m3 LC",60,"North Carolina","Durham"
"5/15/11","ug/m3 LC",26,"North Carolina","Durham"
"5/18/11","ug/m3 LC",20,"North Carolina","Durham"
"5/21/11","ug/m3 LC",35,"North Carolina","Durham"
"5/27/11","ug/m3 LC",22,"North Carolina","Durham"
"5/30/11","ug/m3 LC",48,"North Carolina","Durham"
"5/31/11","ug/m3 LC",65,"North Carolina","Durham"
"6/2/11","ug/m3 LC",54,"North Carolina","Durham"
"6/5/11","ug/m3 LC",54,"North Carolina","Durham"
"6/8/11","ug/m3 LC",62,"North Carolina","Durham"
"6/11/11","ug/m3 LC",46,"North Carolina","Durham"
"6/14/11","ug/m3 LC",35,"North Carolina","Durham"
"6/17/11","ug/m3 LC",39,"North Carolina","Durham"
"6/20/11","ug/m3 LC",27,"North Carolina","Durham"
