household_id,state,person,age,total_income
597,Washington,husband,49,33400
597,Washington,wife,44,0
662,Oregon,husband,88,96100
662,Oregon,wife,85,8400
1542,Washington,husband,66,200
1542,Washington,wife,69,68100
1711,Washington,husband,66,18560
1711,Washington,wife,65,71000
2864,Washington,husband,49,95570
2864,Washington,wife,53,40
3830,Washington,husband,35,19000
3830,Washington,wife,29,16000
6213,Washington,husband,47,185700
6213,Washington,wife,43,3000
6486,Washington,husband,67,50600
6486,Washington,wife,66,36000
6795,Washington,husband,56,150000
6795,Washington,wife,53,51000
7472,Washington,husband,57,72000
7472,Washington,wife,55,7200
7659,Washington,husband,37,65000
7659,Washington,wife,33,12000
8045,Washington,husband,75,39200
8045,Washington,wife,69,11000
8566,Oregon,husband,62,0
8566,Oregon,wife,62,14200
9583,Washington,husband,36,28500
9583,Washington,wife,34,0
9727,Washington,husband,34,27000
9727,Washington,wife,31,35000
12568,Washington,husband,30,145000
12568,Washington,wife,28,0
13022,Oregon,husband,43,110000
13022,Oregon,wife,38,0
13062,Oregon,husband,51,130000
13062,Oregon,wife,46,30000
13232,Oregon,husband,73,36000
13232,Oregon,wife,67,64800
14524,Washington,husband,23,20000
14524,Washington,wife,20,15000
15469,Washington,husband,33,50000
15469,Washington,wife,34,37000
15835,Oregon,husband,68,95400
15835,Oregon,wife,46,46000
16474,Washington,husband,70,24000
16474,Washington,wife,70,30000
17357,Oregon,husband,30,45000
17357,Oregon,wife,25,400
17733,Washington,husband,56,48170
17733,Washington,wife,56,84000
18430,Oregon,husband,35,54000
18430,Oregon,wife,39,0
20370,Washington,husband,47,40000
20370,Washington,wife,46,23000
20801,Oregon,husband,61,5200
20801,Oregon,wife,60,44000
21322,Washington,husband,45,59200
21322,Washington,wife,36,30600
21535,Oregon,husband,51,70000
21535,Oregon,wife,50,15400
21768,Oregon,husband,71,60000
21768,Oregon,wife,62,0
22351,Washington,husband,70,30000
22351,Washington,wife,68,43000
23393,Washington,husband,38,12500
23393,Washington,wife,38,0
24044,Washington,husband,44,0
24044,Washington,wife,42,30000
24189,Washington,husband,65,52900
24189,Washington,wife,62,59000
27275,Washington,husband,69,36000
27275,Washington,wife,49,70000
27328,Oregon,husband,39,35000
27328,Oregon,wife,37,28000
27402,Oregon,husband,37,49000
27402,Oregon,wife,27,68000
29846,Washington,husband,67,0
29846,Washington,wife,50,113000
29913,Washington,husband,68,22000
29913,Washington,wife,62,42000
29916,Washington,husband,60,30000
29916,Washington,wife,53,22000
30310,Oregon,husband,29,0
30310,Oregon,wife,29,100000
30597,Washington,husband,73,43070
30597,Washington,wife,79,23400
31245,Washington,husband,48,29300
