household_id,state,husband_age,husband_total_income,wife_age,wife_total_income
585,Oregon,29,6100,NA,NA
1855,Oregon,NA,NA,44,25000
3009,Washington,41,118000,NA,NA
3830,Washington,35,19000,NA,NA
4223,Washington,NA,NA,63,18700
4491,Washington,33,60060,NA,NA
5258,Oregon,68,14400,NA,NA
5418,Washington,NA,NA,73,6000
5428,Washington,38,60000,NA,NA
6286,Washington,53,77000,NA,NA
7867,Oregon,NA,NA,59,3400
7940,Washington,NA,NA,66,53000
8972,Washington,NA,NA,45,105000
11631,Oregon,NA,NA,72,13000
11817,Oregon,NA,NA,58,5200
12061,Oregon,NA,NA,61,0
12192,Washington,NA,NA,36,170
12560,Washington,NA,NA,60,24400
12602,Oregon,52,38000,NA,NA
13096,Oregon,65,67940,NA,NA
14206,Washington,67,21700,NA,NA
14737,Washington,36,74000,NA,NA
14797,Washington,58,13700,NA,NA
14965,Washington,NA,NA,47,10000
15873,Oregon,80,46700,NA,NA
15945,Oregon,49,56000,NA,NA
16100,Oregon,37,52000,NA,NA
16112,Oregon,NA,NA,52,3000
17235,Oregon,NA,NA,29,16100
17721,Washington,37,135000,NA,NA
18001,Washington,60,33900,NA,NA
18326,Oregon,NA,NA,48,18504
19543,Washington,NA,NA,61,0
19716,Washington,NA,NA,46,72000
20789,Oregon,NA,NA,44,94000
21153,Washington,73,7400,NA,NA
22205,Oregon,94,44700,NA,NA
23636,Oregon,81,1400,NA,NA
24480,Oregon,83,42000,NA,NA
25254,Oregon,NA,NA,37,47000
25663,Oregon,87,0,89,7400
25969,Washington,NA,NA,59,45000
26246,Washington,NA,NA,26,3500
27280,Oregon,NA,NA,36,70000
27328,Oregon,39,35000,NA,NA
28603,Washington,NA,NA,53,15000
29548,Washington,73,76900,NA,NA
30340,Washington,NA,NA,41,5200
32759,Oregon,34,22800,NA,NA
32963,Oregon,NA,NA,64,0
32996,Oregon,64,45000,NA,NA
33207,Washington,50,1100,NA,NA
33521,Washington,NA,NA,38,50000
37245,Washington,NA,NA,40,0
37532,Oregon,NA,NA,35,0
37650,Washington,59,45000,NA,NA
38710,Washington,NA,NA,63,42700
39302,Oregon,NA,NA,75,10100
39922,Oregon,63,60301,54,47800
39944,Oregon,68,33600,NA,NA
40153,Washington,NA,NA,38,26000
40359,Washington,NA,NA,31,58000
40594,Oregon,NA,NA,29,66000
41101,Washington,NA,NA,58,60020
41165,Washington,NA,NA,47,467000
41283,Oregon,51,51400,NA,NA
41501,Oregon,76,25300,NA,NA
41662,Washington,NA,NA,30,10000
42291,Oregon,28,29300,NA,NA
42503,Oregon,NA,NA,37,50010
44911,Washington,36,2600,NA,NA
45595,Washington,43,130200,NA,NA
46736,Washington,NA,NA,55,70000
