price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
241.25,3,1.75,1350,7588,1,FALSE,0,3,7,1350,0,1993,0,98010,47.3123,-122.023
262.5,4,2,1540,5110,1,FALSE,0,3,7,1540,0,1957,0,98118,47.5164,-122.268
765,4,1,2520,5500,1.5,FALSE,0,5,8,1820,700,1912,0,98144,47.5785,-122.292
430,2,2.25,1040,1516,2,FALSE,0,3,8,1040,0,2008,0,98122,47.6037,-122.307
215,3,2,1280,6994,1,FALSE,0,3,7,1280,0,1991,0,98038,47.3889,-122.048
675,2,1.75,2140,5000,1,FALSE,0,3,7,1000,1140,1930,1991,98112,47.6284,-122.291
885,4,2.5,2830,5000,2,FALSE,0,3,9,2830,0,1995,0,98105,47.6597,-122.29
907,3,1.5,1340,6000,1.5,FALSE,1,3,9,1340,0,1927,0,98105,47.66,-122.282
395.3,3,1.5,1120,7000,1,FALSE,0,3,7,1120,0,1955,0,98007,47.5987,-122.146
649.95,3,2.75,1670,1350,3,FALSE,0,3,9,1350,320,2014,0,98116,47.5764,-122.408
300,2,1.5,1300,6120,1,FALSE,0,3,6,820,480,1945,0,98146,47.5088,-122.338
632,3,2.25,2730,7521,2,FALSE,2,3,9,2730,0,1992,0,98011,47.7704,-122.196
525,4,2.5,2400,10070,1,FALSE,0,3,7,1510,890,1967,0,98034,47.7104,-122.24
533,4,2.5,2830,6536,2,FALSE,0,3,8,2830,0,2003,0,98038,47.3888,-122.032
554,2,2,1870,5580,1,FALSE,0,3,8,1870,0,2004,0,98053,47.7101,-122.031
513,3,1.75,1710,5000,1,FALSE,0,4,7,1110,600,1944,0,98107,47.6689,-122.37
615,5,2.25,2480,12070,2,FALSE,0,3,9,2480,0,1978,0,98074,47.631,-122.052
197.2,3,1,1140,8775,1,FALSE,0,3,6,990,150,1942,0,98146,47.4824,-122.336
200,3,1,1010,8108,1,FALSE,0,3,7,1010,0,1955,0,98155,47.735,-122.309
815,3,2,2310,6000,2,FALSE,1,4,9,1560,750,1926,0,98199,47.648,-122.395
165,3,1.5,1020,10152,1,FALSE,0,5,6,1020,0,1959,0,98056,47.4971,-122.168
445,4,2.5,2170,6000,2,FALSE,0,3,7,1630,540,2008,0,98106,47.5589,-122.365
665,3,2.25,1590,929,2,FALSE,0,3,9,1060,530,2014,0,98122,47.6172,-122.31
370,3,1.75,1530,10300,1,FALSE,0,4,7,1530,0,1978,0,98133,47.7767,-122.356
600,2,2.5,2510,14878,2,FALSE,0,3,10,2510,0,1990,0,98011,47.7525,-122.205
709,3,2.75,2780,7200,1.5,FALSE,0,4,8,1870,910,1913,0,98118,47.5632,-122.27
400,3,1.75,1560,8456,1,FALSE,0,5,7,1560,0,1970,0,98028,47.7769,-122.25
750,4,2.25,2420,11120,1,FALSE,2,4,8,1620,800,1952,0,98146,47.4954,-122.366
265,4,1.75,1900,10588,1,FALSE,0,5,6,1900,0,1958,0,98002,47.289,-122.212
