"DIST_NAME","SY","kindercount"
"Acushnet",2018,108
"Acushnet",2019,121
"Acushnet",2020,89
"Acushnet",2021,86
"Acushnet",2022,76
"Acushnet",2023,95
"Adams-Cheshire",2018,85
"Adams-Cheshire",2019,79
"Adams-Cheshire",2020,88
"Adams-Cheshire",2021,73
"Adams-Cheshire",2022,82
"Adams-Cheshire",2023,70
"Amesbury",2018,145
"Amesbury",2019,116
"Amesbury",2020,134
"Amesbury",2021,134
"Amesbury",2022,136
"Amesbury",2023,120
"Amherst",2018,36
"Amherst",2019,63
"Amherst",2020,32
"Amherst",2021,48
"Amherst",2022,32
"Amherst",2023,31
"Ashburnham-Westminster",2018,72
"Ashburnham-Westminster",2019,73
"Ashburnham-Westminster",2020,70
"Ashburnham-Westminster",2021,60
"Ashburnham-Westminster",2022,83
"Ashburnham-Westminster",2023,156
"Athol-Royalston",2018,104
"Athol-Royalston",2019,99
"Athol-Royalston",2020,104
"Athol-Royalston",2021,85
"Athol-Royalston",2022,122
"Athol-Royalston",2023,129
"Avon",2018,48
"Avon",2019,42
"Avon",2020,48
"Avon",2021,42
"Avon",2022,48
"Avon",2023,48
"Ayer Shirley",2018,142
"Ayer Shirley",2019,142
"Ayer Shirley",2020,86
"Ayer Shirley",2021,61
"Ayer Shirley",2022,87
"Ayer Shirley",2023,80
"Belchertown",2018,158
"Belchertown",2019,138
"Belchertown",2020,146
"Belchertown",2021,141
"Belchertown",2022,156
"Belchertown",2023,127
"Belmont",2018,91
"Belmont",2019,106
"Belmont",2020,110
"Belmont",2021,72
"Belmont",2022,98
"Belmont",2023,85
"Benjamin Banneker Charter",2018,49
"Benjamin Banneker Charter",2019,45
"Benjamin Banneker Charter",2020,46
"Benjamin Banneker Charter",2021,52
"Benjamin Banneker Charter",2022,43
"Benjamin Banneker Charter",2023,44
"Berkley",2018,77
"Berkley",2019,79
"Berkley",2020,96
"Berkley",2021,77
"Berkley",2022,73
"Berkley",2023,83
"Berkshire Hills",2018,84
"Berkshire Hills",2019,78
"Berkshire Hills",2020,72
"Berkshire Hills",2021,68
"Berkshire Hills",2022,57
"Berkshire Hills",2023,49
"Blackstone-Millville",2018,38
"Blackstone-Millville",2019,28
"Blackstone-Millville",2020,20
"Blackstone-Millville",2021,80
"Blackstone-Millville",2022,81
"Blackstone-Millville",2023,89
"Boston",2018,3920
"Boston",2019,3803
"Boston",2020,3624
"Boston",2021,3218
"Boston",2022,3224
"Boston",2023,3282
"Boston Renaissance Charter",2018,131
"Boston Renaissance Charter",2019,139
"Boston Renaissance Charter",2020,136
"Boston Renaissance Charter",2021,125
"Boston Renaissance Charter",2022,131
"Boston Renaissance Charter",2023,124
"Bourne",2018,79
"Bourne",2019,82
"Bourne",2020,132
"Bourne",2021,81
"Bourne",2022,105
"Bourne",2023,109
"Boxford",2018,80
"Boxford",2019,76
"Boxford",2020,109
"Boxford",2021,78
"Boxford",2022,96
"Boxford",2023,93
"Brewster",2018,54
"Brewster",2019,66
"Brewster",2020,62
"Brewster",2021,67
"Brewster",2022,63
"Brewster",2023,63
"Bridge Boston Charter School",2018,39
"Bridge Boston Charter School",2019,37
"Bridge Boston Charter School",2020,36
"Bridge Boston Charter School",2021,40
"Bridge Boston Charter School",2022,35
"Bridge Boston Charter School",2023,37
"Bridgewater-Raynham",2018,239
"Bridgewater-Raynham",2019,249
"Bridgewater-Raynham",2020,255
"Bridgewater-Raynham",2021,241
"Bridgewater-Raynham",2022,258
"Bridgewater-Raynham",2023,257
"Brimfield",2018,32
"Brimfield",2019,24
"Brimfield",2020,44
"Brimfield",2021,31
"Brimfield",2022,34
"Brimfield",2023,32
"Brookfield",2018,40
"Brookfield",2019,36
"Brookfield",2020,44
"Brookfield",2021,32
"Brookfield",2022,32
"Brookfield",2023,35
"Brookline",2018,178
"Brookline",2019,282
"Brookline",2020,226
"Brookline",2021,180
"Brookline",2022,147
"Brookline",2023,142
"Cambridge",2018,646
"Cambridge",2019,622
"Cambridge",2020,630
"Cambridge",2021,591
"Cambridge",2022,546
"Cambridge",2023,542
"Carlisle",2018,63
"Carlisle",2019,58
"Carlisle",2020,52
"Carlisle",2021,53
"Carlisle",2022,74
"Carlisle",2023,63
"Carver",2018,119
"Carver",2019,129
"Carver",2020,127
"Carver",2021,98
"Carver",2022,135
"Carver",2023,124
"Central Berkshire",2018,36
"Central Berkshire",2019,40
"Central Berkshire",2020,36
"Central Berkshire",2021,26
"Central Berkshire",2022,32
"Central Berkshire",2023,39
"Chelsea",2018,513
"Chelsea",2019,520
"Chelsea",2020,495
"Chelsea",2021,477
"Chelsea",2022,466
"Chelsea",2023,452
"Clinton",2018,146
"Clinton",2019,164
"Clinton",2020,138
"Clinton",2021,146
"Clinton",2022,146
"Clinton",2023,132
"Codman Academy Charter",2018,19
"Codman Academy Charter",2019,20
"Codman Academy Charter",2020,22
"Codman Academy Charter",2021,20
"Codman Academy Charter",2022,18
"Codman Academy Charter",2023,20
"Cohasset",2018,95
"Cohasset",2019,101
"Cohasset",2020,103
"Cohasset",2021,100
"Cohasset",2022,127
"Cohasset",2023,115
"Community Day Charter Public School - Prospect",2018,46
"Community Day Charter Public School - Prospect",2019,44
"Community Day Charter Public School - Prospect",2020,25
"Community Day Charter Public School - Prospect",2021,21
"Community Day Charter Public School - Prospect",2022,32
"Community Day Charter Public School - Prospect",2023,123
"Concord",2018,220
"Concord",2019,208
"Concord",2020,207
"Concord",2021,175
"Concord",2022,181
"Concord",2023,187
"Conservatory Lab Charter",2018,49
