DistrictName,DistrictCode,KinderTotal2018
Abby Kelley Foster Charter Public (District),4450000,117
Abington,10000,137
Acton-Boxborough,6000000,352
Acushnet,30000,108
Adams-Cheshire,6030000,85
Agawam,50000,233
Alma del Mar Charter School (District),4090000,50
Amesbury,70000,145
Amherst,80000,121
Andover,90000,363
Arlington,100000,522
Ashburnham-Westminster,6100000,151
Ashland,140000,202
Athol-Royalston,6150000,124
Atlantis Charter (District),4910000,107
Attleboro,160000,425
Auburn,170000,167
Avon,180000,48
Ayer Shirley School District,6160000,142
Barnstable,200000,314
Barnstable Community Horace Mann Charter Public (District),4270000,85
Bedford,230000,197
Belchertown,240000,158
Bellingham,250000,156
Belmont,260000,320
Benjamin Banneker Charter Public (District),4200000,49
Benjamin Franklin Classical Charter Public (District),4470000,50
Bentley Academy Charter School (District),35110000,59
Berkley,270000,77
Berkshire Hills,6180000,84
Berlin,280000,27
Beverly,300000,364
Billerica,310000,353
Blackstone-Millville,6220000,129
Boston,350000,4001
Boston Renaissance Charter Public (District),4810000,131
Bourne,360000,119
Boxford,380000,80
Boylston,390000,39
Braintree,400000,356
Brewster,410000,54
Bridge Boston Charter School (District),4170000,39
Bridgewater-Raynham,6250000,384
Brimfield,430000,32
Brockton,440000,1261
Brooke Charter School (District),4280000,178
Brookfield,450000,40
Brookline,460000,609
Burlington,480000,299
Cambridge,490000,646
Canton,500000,221
Carlisle,510000,63
Carver,520000,119
Central Berkshire,6350000,100
Chelmsford,560000,368
Chelsea,570000,513
Chesterfield-Goshen,6320000,19
Chicopee,610000,552
Clarksburg,630000,31
Clinton,640000,146
Codman Academy Charter Public (District),4380000,19
Cohasset,650000,95
Collegiate Charter School of Lowell (District),35030000,99
Community Day Charter Public School - Gateway (District),4260000,40
Community Day Charter Public School - Prospect (District),4400000,46
Community Day Charter Public School - R. Kingman Webster (District),4310000,42
Concord,670000,220
Conservatory Lab Charter (District),4390000,49
Conway,680000,13
Danvers,710000,258
Dartmouth,720000,252
Dedham,730000,173
Deerfield,740000,51
Dennis-Yarmouth,6450000,207
Dighton-Rehoboth,6500000,193
Douglas,770000,79
Dover,780000,61
Dracut,790000,313
Dudley Street Neighborhood Charter School (District),4070000,38
Dudley-Charlton Reg,6580000,267
Duxbury,820000,173
East Bridgewater,830000,160
East Longmeadow,870000,187
Eastham,850000,24
Easthampton,860000,111
Easton,880000,243
Edgartown,890000,38
Erving,910000,11
Everett,930000,492
Fairhaven,940000,130
Fall River,950000,873
Falmouth,960000,247
Farmington River Reg,6620000,16
Fitchburg,970000,418
Florida,980000,4
Foxborough,990000,173
Foxborough Regional Charter (District),4460000,130
Framingham,1000000,720
Franklin,1010000,307
Freetown-Lakeville,6650000,208
Gardner,1030000,205
Gateway,6720000,71
Georgetown,1050000,98
Gill-Montague,6740000,93
Gloucester,1070000,221
Grafton,1100000,217
Granby,1110000,43
Greenfield,1140000,162
Groton-Dunstable,6730000,149
Hadley,1170000,24
Halifax,1180000,94
Hamilton-Wenham,6750000,146
Hampden-Wilbraham,6800000,172
Hancock,1210000,4
Hanover,1220000,154
Harvard,1250000,64
Hatfield,1270000,20
Haverhill,1280000,524
Hawlemont,6850000,25
Hill View Montessori Charter Public (District),4550000,36
Hilltown Cooperative Charter Public (District),4500000,20
Hingham,1310000,289
Holbrook,1330000,95
Holland,1350000,29
Holliston,1360000,200
Holyoke,1370000,377
Holyoke Community Charter (District),4530000,78
Hopedale,1380000,73
Hopkinton,1390000,202
Hudson,1410000,210
Hull,1420000,62
Ipswich,1440000,130
KIPP Academy Boston Charter School (District),4630000,62
KIPP Academy Lynn Charter (District),4290000,122
Kingston,1450000,146
Lanesborough,1480000,25
Lawrence,1490000,980
Lawrence Family Development Charter (District),4540000,85
Lee,1500000,63
Leicester,1510000,107
Lenox,1520000,34
Leominster,1530000,404
Leverett,1540000,12
Lexington,1550000,412
Lincoln,1570000,121
Littleton,1580000,145
Longmeadow,1590000,173
Lowell,1600000,1138
Lowell Community Charter Public (District),4560000,96
Ludlow,1610000,149
Lunenburg,1620000,109
Lynn,1630000,1166
Lynnfield,1640000,170
MATCH Charter Public School (District),4690000,94
Malden,1650000,468
Manchester Essex Regional,6980000,76
Mansfield,1670000,223
Marblehead,1680000,187
Marion,1690000,56
Marlborough,1700000,391
Marshfield,1710000,254
Martha's Vineyard Charter (District),4660000,15
Martin Luther King Jr. Charter School of Excellence (District),4920000,64
Mashpee,1720000,122
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,19
Mattapoisett,1730000,58
Maynard,1740000,121
Medfield,1750000,174
Medford,1760000,304
Medway,1770000,147
Melrose,1780000,321
Mendon-Upton,7100000,164
Methuen,1810000,484
Middleborough,1820000,232
Middleton,1840000,73
Milford,1850000,305
Millbury,1860000,127
Millis,1870000,102
Milton,1890000,353
Mohawk Trail,7170000,77
Monomoy Regional School District,7120000,145
Monson,1910000,61
Mystic Valley Regional Charter (District),4700000,156
Nahant,1960000,13
Nantucket,1970000,118
Narragansett,7200000,101
Nashoba,7250000,206
Natick,1980000,426
Needham,1990000,404
Neighborhood House Charter (District),4440000,38
New Bedford,2010000,1064
New Salem-Wendell,7280000,17
Newburyport,2040000,118
Newton,2070000,850
Norfolk,2080000,120
North Adams,2090000,105
North Andover,2110000,308
North Attleborough,2120000,269
North Brookfield,2150000,41
North Middlesex,7350000,210
North Reading,2170000,179
