"","DistrictName","DistrictCode","KinderTotal2020"
"1","Abby Kelley Foster Charter Public (District)",4450000,114
"2","Abington",10000,169
"3","Acton-Boxborough",6000000,306
"4","Acushnet",30000,89
"5","Agawam",50000,263
"6","Alma del Mar Charter School (District)",4090000,103
"7","Amesbury",70000,134
"8","Amherst",80000,128
"9","Andover",90000,340
"10","Arlington",100000,524
"11","Ashburnham-Westminster",6100000,156
"12","Ashland",140000,188
"13","Athol-Royalston",6150000,124
"14","Atlantis Charter (District)",4910000,110
"15","Attleboro",160000,433
"16","Auburn",170000,184
"17","Avon",180000,48
"18","Ayer Shirley School District",6160000,150
"19","Barnstable",200000,343
"20","Bedford",230000,183
"21","Belchertown",240000,146
"22","Bellingham",250000,140
"23","Belmont",260000,349
"24","Benjamin Banneker Charter Public (District)",4200000,46
"25","Benjamin Franklin Classical Charter Public (District)",4470000,92
"26","Bentley Academy Charter School (District)",35110000,52
"27","Berkley",270000,96
"28","Berkshire Hills",6180000,72
"29","Berlin-Boylston",6200000,82
"30","Beverly",300000,398
"31","Billerica",310000,373
"32","Blackstone-Millville",6220000,111
"33","Boston",350000,3675
"34","Boston Renaissance Charter Public (District)",4810000,136
"35","Bourne",360000,132
"36","Boxford",380000,109
"37","Braintree",400000,384
"38","Brewster",410000,62
"39","Bridge Boston Charter School (District)",4170000,36
"40","Bridgewater-Raynham",6250000,419
"41","Brimfield",430000,44
"42","Brockton",440000,1053
"43","Brooke Charter School (District)",4280000,186
"44","Brookfield",450000,44
"45","Brookline",460000,600
"46","Burlington",480000,265
"47","Cambridge",490000,630
"48","Canton",500000,250
"49","Carlisle",510000,52
"50","Carver",520000,127
"51","Central Berkshire",6350000,115
"52","Chelmsford",560000,365
"53","Chelsea",570000,495
"54","Chesterfield-Goshen",6320000,21
"55","Chicopee",610000,473
"56","Clarksburg",630000,15
"57","Clinton",640000,138
"58","Codman Academy Charter Public (District)",4380000,22
"59","Cohasset",650000,103
"60","Collegiate Charter School of Lowell (District)",35030000,78
"61","Community Day Charter Public School - Gateway (District)",4260000,40
"62","Community Day Charter Public School - Prospect (District)",4400000,25
"63","Community Day Charter Public School - R. Kingman Webster (District)",4310000,41
"64","Concord",670000,207
"65","Conservatory Lab Charter (District)",4390000,49
"66","Conway",680000,14
"67","Danvers",710000,258
"68","Dartmouth",720000,270
"69","Dedham",730000,229
"70","Deerfield",740000,50
"71","Dennis-Yarmouth",6450000,228
"72","Dighton-Rehoboth",6500000,192
"73","Douglas",770000,98
"74","Dover",780000,78
"75","Dracut",790000,305
"76","Dudley Street Neighborhood Charter School (District)",4070000,41
"77","Dudley-Charlton Reg",6580000,246
"78","Duxbury",820000,182
"79","East Bridgewater",830000,149
"80","East Longmeadow",870000,181
"81","Eastham",850000,32
"82","Easthampton",860000,120
"83","Easton",880000,224
"84","Edgartown",890000,45
"85","Erving",910000,18
"86","Everett",930000,508
"87","Fairhaven",940000,116
"88","Fall River",950000,854
"89","Falmouth",960000,226
"90","Farmington River Reg",6620000,13
"91","Fitchburg",970000,419
"92","Florida",980000,7
"93","Foxborough",990000,184
"94","Foxborough Regional Charter (District)",4460000,145
"95","Framingham",1000000,696
"96","Franklin",1010000,285
"97","Freetown-Lakeville",6650000,219
"98","Gardner",1030000,176
"99","Gateway",6720000,49
"100","Georgetown",1050000,105
"101","Gill-Montague",6740000,71
"102","Gloucester",1070000,226
"103","Grafton",1100000,237
"104","Granby",1110000,57
"105","Greenfield",1140000,161
"106","Greenfield Commonwealth Virtual District",39010000,15
"107","Groton-Dunstable",6730000,150
"108","Hadley",1170000,29
"109","Halifax",1180000,64
"110","Hamilton-Wenham",6750000,145
"111","Hampden-Wilbraham",6800000,195
"112","Hancock",1210000,11
"113","Hanover",1220000,198
"114","Harvard",1250000,58
"115","Hatfield",1270000,28
"116","Haverhill",1280000,581
"117","Hawlemont",6850000,16
"118","Hill View Montessori Charter Public (District)",4550000,36
"119","Hilltown Cooperative Charter Public (District)",4500000,20
"120","Hingham",1310000,304
"121","Holbrook",1330000,106
"122","Holland",1350000,18
"123","Holliston",1360000,194
"124","Holyoke",1370000,419
"125","Holyoke Community Charter (District)",4530000,81
"126","Hoosac Valley Regional",6030000,88
"127","Hopedale",1380000,66
"128","Hopkinton",1390000,268
"129","Hudson",1410000,196
"130","Hull",1420000,52
"131","Ipswich",1440000,105
"132","KIPP Academy Boston Charter School (District)",4630000,62
"133","KIPP Academy Lynn Charter (District)",4290000,125
"134","Kingston",1450000,154
"135","Lawrence",1490000,908
"136","Lawrence Family Development Charter (District)",4540000,81
"137","Lee",1500000,53
"138","Leicester",1510000,97
"139","Lenox",1520000,44
"140","Leominster",1530000,420
"141","Leverett",1540000,15
"142","Lexington",1550000,382
"143","Lincoln",1570000,109
"144","Littleton",1580000,116
"145","Longmeadow",1590000,177
"146","Lowell",1600000,1098
"147","Lowell Community Charter Public (District)",4560000,100
"148","Ludlow",1610000,161
"149","Lunenburg",1620000,121
"150","Lynn",1630000,1083
"151","Lynnfield",1640000,170
"152","MATCH Charter Public School (District)",4690000,92
"153","Malden",1650000,474
"154","Manchester Essex Regional",6980000,83
"155","Mansfield",1670000,205
"156","Marblehead",1680000,164
"157","Marion",1690000,55
"158","Marlborough",1700000,417
"159","Marshfield",1710000,269
"160","Martha's Vineyard Charter (District)",4660000,14
"161","Martin Luther King Jr. Charter School of Excellence (District)",4920000,62
"162","Mashpee",1720000,96
"163","Mattapoisett",1730000,52
"164","Maynard",1740000,101
"165","Medfield",1750000,195
"166","Medford",1760000,313
"167","Medway",1770000,145
"168","Melrose",1780000,320
"169","Mendon-Upton",7100000,154
"170","Methuen",1810000,476
"171","Middleborough",1820000,219
"172","Middleton",1840000,86
"173","Milford",1850000,311
"174","Millbury",1860000,126
"175","Millis",1870000,80
"176","Milton",1890000,371
