"DistrictName","DistrictCode","KinderTotal2018","KinderTotal2020"
"Abby Kelley Foster Charter Public (District)",4450000,117,114
"Abington",10000,137,169
"Acton-Boxborough",6000000,352,306
"Acushnet",30000,108,89
"Agawam",50000,233,263
"Alma del Mar Charter School (District)",4090000,50,103
"Amesbury",70000,145,134
"Amherst",80000,121,128
"Andover",90000,363,340
"Arlington",100000,522,524
"Ashburnham-Westminster",6100000,151,156
"Ashland",140000,202,188
"Athol-Royalston",6150000,124,124
"Atlantis Charter (District)",4910000,107,110
"Attleboro",160000,425,433
"Auburn",170000,167,184
"Avon",180000,48,48
"Ayer Shirley School District",6160000,142,150
"Barnstable",200000,314,343
"Bedford",230000,197,183
"Belchertown",240000,158,146
"Bellingham",250000,156,140
"Belmont",260000,320,349
"Benjamin Banneker Charter Public (District)",4200000,49,46
"Benjamin Franklin Classical Charter Public (District)",4470000,50,92
"Bentley Academy Charter School (District)",35110000,59,52
"Berkley",270000,77,96
"Berkshire Hills",6180000,84,72
"Beverly",300000,364,398
"Billerica",310000,353,373
"Blackstone-Millville",6220000,129,111
"Boston",350000,4001,3675
"Boston Renaissance Charter Public (District)",4810000,131,136
"Bourne",360000,119,132
"Boxford",380000,80,109
"Braintree",400000,356,384
"Brewster",410000,54,62
"Bridge Boston Charter School (District)",4170000,39,36
"Bridgewater-Raynham",6250000,384,419
"Brimfield",430000,32,44
"Brockton",440000,1261,1053
"Brooke Charter School (District)",4280000,178,186
"Brookfield",450000,40,44
"Brookline",460000,609,600
"Burlington",480000,299,265
"Cambridge",490000,646,630
"Canton",500000,221,250
"Carlisle",510000,63,52
"Carver",520000,119,127
"Central Berkshire",6350000,100,115
"Chelmsford",560000,368,365
"Chelsea",570000,513,495
"Chesterfield-Goshen",6320000,19,21
"Chicopee",610000,552,473
"Clarksburg",630000,31,15
"Clinton",640000,146,138
"Codman Academy Charter Public (District)",4380000,19,22
"Cohasset",650000,95,103
"Collegiate Charter School of Lowell (District)",35030000,99,78
"Community Day Charter Public School - Gateway (District)",4260000,40,40
"Community Day Charter Public School - Prospect (District)",4400000,46,25
"Community Day Charter Public School - R. Kingman Webster (District)",4310000,42,41
"Concord",670000,220,207
"Conservatory Lab Charter (District)",4390000,49,49
"Conway",680000,13,14
"Danvers",710000,258,258
"Dartmouth",720000,252,270
"Dedham",730000,173,229
"Deerfield",740000,51,50
"Dennis-Yarmouth",6450000,207,228
"Dighton-Rehoboth",6500000,193,192
"Douglas",770000,79,98
"Dover",780000,61,78
"Dracut",790000,313,305
"Dudley Street Neighborhood Charter School (District)",4070000,38,41
"Dudley-Charlton Reg",6580000,267,246
"Duxbury",820000,173,182
"East Bridgewater",830000,160,149
"East Longmeadow",870000,187,181
"Eastham",850000,24,32
"Easthampton",860000,111,120
"Easton",880000,243,224
"Edgartown",890000,38,45
"Erving",910000,11,18
"Everett",930000,492,508
"Fairhaven",940000,130,116
"Fall River",950000,873,854
"Falmouth",960000,247,226
"Farmington River Reg",6620000,16,13
"Fitchburg",970000,418,419
"Florida",980000,4,7
"Foxborough",990000,173,184
"Foxborough Regional Charter (District)",4460000,130,145
"Framingham",1000000,720,696
"Franklin",1010000,307,285
"Freetown-Lakeville",6650000,208,219
"Gardner",1030000,205,176
"Gateway",6720000,71,49
"Georgetown",1050000,98,105
"Gill-Montague",6740000,93,71
"Gloucester",1070000,221,226
"Grafton",1100000,217,237
"Granby",1110000,43,57
"Greenfield",1140000,162,161
"Groton-Dunstable",6730000,149,150
"Hadley",1170000,24,29
"Halifax",1180000,94,64
"Hamilton-Wenham",6750000,146,145
"Hampden-Wilbraham",6800000,172,195
"Hancock",1210000,4,11
"Hanover",1220000,154,198
"Harvard",1250000,64,58
"Hatfield",1270000,20,28
"Haverhill",1280000,524,581
"Hawlemont",6850000,25,16
"Hill View Montessori Charter Public (District)",4550000,36,36
"Hilltown Cooperative Charter Public (District)",4500000,20,20
"Hingham",1310000,289,304
"Holbrook",1330000,95,106
"Holland",1350000,29,18
"Holliston",1360000,200,194
"Holyoke",1370000,377,419
"Holyoke Community Charter (District)",4530000,78,81
"Hopedale",1380000,73,66
"Hopkinton",1390000,202,268
"Hudson",1410000,210,196
"Hull",1420000,62,52
"Ipswich",1440000,130,105
"Kingston",1450000,146,154
"KIPP Academy Boston Charter School (District)",4630000,62,62
"KIPP Academy Lynn Charter (District)",4290000,122,125
"Lawrence",1490000,980,908
