height_cm,applications,distance_home_miles,academic_year,major_division,study_place,roommates,books,movies,transportation,dog_pants,hotdog,coffee_tea,play_wordle
170.69,12,160.00,Junior,"Philosophy, Religion, Psychology, and Linguistics",My room,1,4,15,Walking,Back legs,Yes,Coffee,Yes
170,8,6420.00,Sophomore,"Philosophy, Religion, Psychology, and Linguistics",Library,0,8,25,Biking,All four legs,Yes,Tea,Yes
157,6,2882.00,Senior,Mathematical and Natural Sciences,Other,1,7,50,Driving,Back legs,Yes,Tea,Yes
170,11,5492.00,Junior,History and Social Sciences,My room,1,50,5,Walking,Back legs,No,Neither,No
170,7,145.00,Junior,Mathematical and Natural Sciences,Department lounge,4,2,3,Driving,One pant leg on its head and the other on its front legs,No,Tea,No
168,20,10.00,Junior,Mathematical and Natural Sciences,My room,1,15,20,Driving,Back legs,No,Coffee,No
170,4,991.00,Sophomore,Literature and Languages,,0,7,20,Walking,Back legs,No,Tea,No
162,5,5784.00,Junior,Mathematical and Natural Sciences,My room,0,2,0,Walking,All four legs,No,Coffee,What's Wordle?
154,10,1470.00,Junior,"Philosophy, Religion, Psychology, and Linguistics",Library,0,1,10,Walking,All four legs,No,Tea,No
185,3,2000.00,Freshman,History and Social Sciences,Dorm commons,1,3,4,Walking,Back legs,Yes,Tea,Yes
160,2,1800.00,Junior,Mathematical and Natural Sciences,My room,4,2,15,Driving,Back legs,No,Coffee,Yes
167,12,120.00,Sophomore,Mathematical and Natural Sciences,My room,0,10,5,Walking,Back legs,No,Tea,Yes
193,15,450.00,Senior,Mathematical and Natural Sciences,Library,0,6,20,Walking,Back legs,Yes,Tea,Yes
179,2,370.00,Junior,Mathematical and Natural Sciences,Library,1,4,8,Walking,Never,Yes,Tea,No
162,12,665.00,Junior,Mathematical and Natural Sciences,My room,4,60,15,Driving,All four legs,Yes,Tea,Yes
171,1,2440.00,Freshman,Mathematical and Natural Sciences,Other,0,15,25,Walking,Back legs,Yes,Coffee,Yes
167.64,15,2943.00,Sophomore,History and Social Sciences,My room,1,8,30,Walking,Back legs,Yes,Coffee,Yes
187,15,930.00,Sophomore,History and Social Sciences,Library,1,4,10,Walking,All four legs,Yes,Tea,No
180.34,25,640.00,Junior,Mathematical and Natural Sciences,Library,1,0,3,Walking,All four legs,Yes,Tea,No
157,8,2120.00,Junior,History and Social Sciences,Other,4,6,7,Public transportation,Back legs,Yes,Neither,No
170.18,17,2500.00,Sophomore,Mathematical and Natural Sciences,My room,0,25,40,Walking,Back legs,Yes,Tea,Yes
177.8,6,130.00,Sophomore,Mathematical and Natural Sciences,My room,1,0,20,Walking,Back legs,Yes,Tea,Yes
178,10,2888.00,Sophomore,Literature and Languages,My room,0,4,15,Walking,Back legs,Yes,Coffee,No
172.72,3,242.50,Sophomore,"Philosophy, Religion, Psychology, and Linguistics",Other,1,5,60,Biking,All four legs,No,Tea,Yes
179,22,2434.00,Sophomore,Mathematical and Natural Sciences,My room,0,2,10,Walking,Back legs,Yes,Tea,Yes
168,13,523.00,Sophomore,History and Social Sciences,My room,1,7,3,Walking,Back legs,Yes,Tea,Yes
172,10,674.00,Senior,Mathematical and Natural Sciences,My room,1,3,12,Public transportation,Back legs,Yes,Tea,No
187,9,630.00,Sophomore,History and Social Sciences,Other,0,10,20,Walking,Back legs,No,Tea,No
160,15,26.50,Sophomore,History and Social Sciences,Other,1,20,15,Walking,Back legs,No,Tea,What's Wordle?
163,5,624.00,Sophomore,Mathematical and Natural Sciences,My room,0,5,4,Walking,Back legs,Yes,Tea,Yes
165,6,2842.00,Sophomore,Mathematical and Natural Sciences,My room,1,6,4,Walking,Back legs,No,Coffee,Yes
182,10,173.00,Sophomore,Mathematical and Natural Sciences,My room,0,3,10,Walking,All four legs,Yes,Tea,Yes
165.1,8,3000.00,Sophomore,Mathematical and Natural Sciences,My room,0,0,3,Walking,Back legs,Yes,Tea,Yes
185,5,2853.00,Sophomore,Mathematical and Natural Sciences,Library,0,2,5,Walking,All four legs,No,Coffee,No
170,10,11.00,Sophomore,History and Social Sciences,Other,0,12,3,Walking,Back legs,No,Tea,Yes
170,15,2500.00,Sophomore,Mathematical and Natural Sciences,Dorm commons,1,10,20,Walking,Back legs,Yes,Tea,No
175,11,962.00,Freshman,History and Social Sciences,My room,0,10,15,Walking,Back legs,No,Coffee,No
162.56,10,543.00,Sophomore,Mathematical and Natural Sciences,Library,0,5,30,Walking,Back legs,No,Tea,Yes
173.99,10,634.60,Sophomore,Mathematical and Natural Sciences,My room,0,5,15,Walking,Back legs,Yes,Coffee,No
163,5,2267.00,Sophomore,History and Social Sciences,Library,1,4,30,Walking,Back legs,No,Tea,No
160,8,693.00,Sophomore,"Philosophy, Religion, Psychology, and Linguistics",My room,1,3,18,Walking,Back legs,No,Coffee,Yes
175,6,2121.00,Sophomore,History and Social Sciences,My room,1,35,20,Walking,Back legs,No,Tea,No
154.94,7,1256.00,Junior,History and Social Sciences,Other,4,7,10,Biking,Back legs,No,Coffee,No
180,8,1700.00,Sophomore,Literature and Languages,My room,1,10,4,Walking,Front legs,Yes,Coffee,Yes
