"EXPERT.1","EXPERT.2","Actions"
2.9,3.3,"A1"
1,1.8,"A2"
0,0,"A3"
9.5,8.9,"A4"
9.3,8.1,"A5"
2.6,8,"A6"
5.9,4.9,"A7"
7,7.2,"A8"
5.5,6.5,"A9"
2.9,4.5,"A10"
5.1,6.1,"A11"
4,5.8,"A12"
10,10,"A13"
5.5,6.9,"A14"
9.2,7.8,"A15"
8.5,8.5,"A16"
5,5.6,"A17"
4.7,5.1,"A18"
8.5,7.9,"A19"
1.5,1.3,"A20"
6.5,8.7,"A21"
2.3,1.5,"A22"
6.2,9.6,"A23"
1.2,0,"A24"
4.8,2.6,"A25"
3,5,"A26"
3,2.4,"A27"
5,7.8,"A28"
8.7,5.9,"A29"
7.1,8.9,"A30"
1.9,4.5,"A31"
7.4,9.8,"A32"
3.5,2.5,"A33"
1.4,1,"A34"
10,8.2,"A35"
10,10,"A36"
10,8.8,"A37"
9,9.2,"A38"
5,5.8,"A39"
0.9,1.9,"A40"
0.9,2.9,"A41"
1,1,"A42"
7.4,7,"A43"
2,2.2,"A44"
6,8.2,"A45"
2.2,3.8,"A46"
5.8,5,"A47"
3.2,3.4,"A48"
1.5,4.1,"A49"
2.1,1.5,"A50"
5.1,4.9,"A51"
5.5,6.7,"A52"
5.1,5.7,"A53"
4.9,4.9,"A54"
4.9,5.3,"A55"
3.3,3.7,"A56"
4.5,1.9,"A57"
0.8,0,"A58"
7.5,9.5,"A59"
5,5,"A60"
4.1,3.5,"A61"
2.4,4.4,"A62"
7.1,8.3,"A63"
6.9,5.7,"A64"
5.4,5.4,"A65"
8,8.4,"A66"
9,6.8,"A67"
8.7,8.3,"A68"
8.7,7.9,"A69"
6,6.4,"A70"
2.9,3.5,"A71"
5.6,6,"A72"
7.8,7.6,"A73"
5.9,8.1,"A74"
7.8,8.4,"A75"
5.3,2.9,"A76"
2,4.8,"A77"
3,3.8,"A78"
8,6.6,"A79"
1,2.8,"A80"
5.7,6.9,"A81"
5.9,5.7,"A82"
8.6,5,"A83"
5,5.6,"A84"
2.9,3.3,"A85"
1.8,0,"A86"
6.5,8.1,"A87"
2,1.4,"A88"
5.1,6.9,"A89"
5.1,6.5,"A90"
7.7,7.3,"A91"
7.1,7.3,"A92"
8.9,7.5,"A93"
