"Subject","Group","Left","Right"
"S1","Swimmer",193,192
"S2","Swimmer",208,207
"S3","Swimmer",198,198
"S4","Swimmer",201,203
"S5","Swimmer",196,194
"S6","Swimmer",196,193
"S7","Swimmer",211,214
"S8","Swimmer",206,207
"S9","Swimmer",197,195
"S10","Swimmer",204,198
"S11","Swimmer",197,198
"S12","Swimmer",205,206
"S13","Swimmer",207,200
"S14","Swimmer",204,204
"S15","Swimmer",204,205
"S16","Control",184,197
"S17","Control",172,187
"S18","Control",178,180
"S19","Control",186,175
"S20","Control",194,192
"S21","Control",188,189
"S22","Control",164,185
"S23","Control",202,168
"S24","Control",182,204
"S25","Control",186,181
"S26","Control",188,182
"S27","Control",186,172
"S28","Control",192,183
"S29","Control",204,189
"S30","Control",178,198
