"year","region","abbreviation","totalballots","vap","vep"
"2022","alabama","AL","1424087","3970392","3812789"
"2022","alaska","AK","267047","557266","530443"
"2022","arkansas","AR","914227","2353877","2198983"
"2022","california","CA","11146610","30534379","25988192"
"2022","colorado","CO","2540666","4639408","4353940"
"2022","connecticut","CT","1297811","2897642","2668414"
"2022","delaware","DE","325632","814324","760519"
"2022","district of columbia","DC","205774","548172","506237"
"2022","florida","FL","7796916","18066773","16166496"
"2022","illinois","IL","4144125","9845624","9035299"
"2022","indiana","IN","1880755","5270771","5054930"
"2022","iowa","IA","1230417","2478135","2368289"
"2022","kansas","KS","1008998","2247751","2117923"
"2022","maine","ME","680909","1140612","1118712"
"2022","maryland","MD","2031635","4817349","4413671"
"2022","massachusetts","MA","2511461","5646479","5136820"
"2022","minnesota","MN","2526646","4427863","4175998"
"2022","nebraska","NE","682716","1493472","1408551"
"2022","nevada","NV","1023617","2498810","2229978"
"2022","new hampshire","NH","626931","1145440","1113501"
"2022","new mexico","NM","714754","1655367","1540379"
"2022","new york","NY","5962278","15654547","14006423"
"2022","north carolina","NC","3790202","8444034","7962183"
"2022","ohio","OH","4201368","9196623","8918421"
"2022","oklahoma","OK","1153284","3075212","2908317"
"2022","oregon","OR","1997689","3402435","3201528"
"2022","rhode island","RI","361449","889585","827311"
"2022","south carolina","SC","1718626","4190429","4013931"
"2022","south dakota","SD","354670","694652","667172"
"2022","tennessee","TN","1756397","5537627","5268526"
"2022","texas","TX","8151590","22711852","19468941"
"2022","virginia","VA","3021956","6827106","6339807"
"2022","washington","WA","3067686","6158975","5537589"
"2022","wisconsin","WI","2673154","4655469","4443971"
"2022","wyoming","WY","198198","452309","434223"
"2020","alabama","AL","2325000","3939759","3782861"
"2020","alaska","AK","361400","556443","529649"
"2020","arkansas","AR","1223675","2332442","2178328"
"2020","california","CA","17785151","30490123","25840035"
"2020","colorado","CO","3295666","4579181","4297225"
"2020","connecticut","CT","1861086","2887773","2655214"
"2020","delaware","DE","509241","798104","745131"
"2020","district of columbia","DC","346491","544795","503118"
"2020","florida","FL","11144855","17593558","15742624"
"2020","illinois","IL","6050000","9910732","9095238"
"2020","indiana","IN","3068542","5240144","5025421"
"2020","iowa","IA","1700130","2469708","2360125"
"2020","kansas","KS","1375125","2242018","2112458"
"2020","maine","ME","828305","1127932","1106276"
"2020","maryland","MD","3066945","4820237","4416326"
"2020","massachusetts","MA","3658005","5638722","5129755"
"2020","minnesota","MN","3292997","4408498","4157411"
"2020","nebraska","NE","966920","1484568","1400069"
"2020","nevada","NV","1407754","2455546","2191188"
"2020","new hampshire","NH","814499","1132908","1101294"
"2020","new mexico","NM","928230","1649222","1534600"
"2020","new york","NY","8690139","15787812","14081957"
"2020","north carolina","NC","5545848","8284274","7811002"
"2020","ohio","OH","5974121","9184163","8906277"
"2020","oklahoma","OK","1565000","3040979","2875494"
"2020","oregon","OR","2413890","3405290","3204224"
"2020","rhode island","RI","522488","890532","828194"
"2020","south carolina","SC","2533010","4087762","3914642"
"2020","south dakota","SD","427529","678680","651554"
"2020","tennessee","TN","3065000","5439926","5174225"
"2020","texas","TX","11350000","22157381","18982171"
"2020","virginia","VA","4523142","6785517","6300717"
